2025-07-20 14:17:43,901 - INFO - Detected screen resolution: 1920x1080
2025-07-20 14:17:45,153 - INFO - Performance: Frame 1000, Prediction: False
2025-07-20 14:17:46,175 - INFO - Performance: Frame 2000, Prediction: False
2025-07-20 14:17:47,222 - INFO - Performance: Frame 3000, Prediction: False
2025-07-20 14:17:48,260 - INFO - Performance: Frame 4000, Prediction: False
2025-07-20 14:17:52,321 - INFO - Performance: Frame 5000, Prediction: False
2025-07-20 14:18:07,758 - INFO - Performance: Frame 6000, Prediction: False
2025-07-20 14:18:18,961 - INFO - Performance: Frame 7000, Prediction: False
2025-07-20 14:18:20,251 - INFO - Performance: Frame 8000, Prediction: False
2025-07-20 14:18:21,677 - INFO - Performance: Frame 9000, Prediction: False
2025-07-20 14:18:21,981 - INFO - Bind UI updated for aim to RIGHT CLICK
2025-07-20 14:18:22,020 - INFO - Settings loaded from C:/Users/kiran/OneDrive/Desktop/ProSuiteCheat/config/FPS.json
2025-07-20 14:18:31,180 - INFO - Performance: Frame 10000, Prediction: False
2025-07-20 14:18:42,886 - INFO - Performance: Frame 11000, Prediction: True
2025-07-20 14:18:58,295 - INFO - Performance: Frame 12000, Prediction: True
2025-07-20 14:19:13,201 - INFO - Performance: Frame 13000, Prediction: True
2025-07-20 14:19:27,755 - INFO - Performance: Frame 14000, Prediction: True
2025-07-20 14:19:42,272 - INFO - Performance: Frame 15000, Prediction: True
2025-07-20 14:19:56,144 - INFO - Performance: Frame 16000, Prediction: False
2025-07-20 14:20:08,530 - INFO - Performance: Frame 17000, Prediction: False
2025-07-20 14:20:21,163 - INFO - Performance: Frame 18000, Prediction: False
2025-07-20 14:20:33,213 - INFO - Performance: Frame 19000, Prediction: False
2025-07-20 14:20:45,379 - INFO - Performance: Frame 20000, Prediction: False
2025-07-20 14:20:57,301 - INFO - Performance: Frame 21000, Prediction: False
2025-07-20 14:21:08,301 - INFO - Performance: Frame 22000, Prediction: False
2025-07-20 14:21:19,560 - INFO - Performance: Frame 23000, Prediction: False
2025-07-20 14:21:30,906 - INFO - Performance: Frame 24000, Prediction: False
2025-07-20 14:21:42,340 - INFO - Performance: Frame 25000, Prediction: False
2025-07-20 14:21:53,828 - INFO - Performance: Frame 26000, Prediction: False
2025-07-20 14:22:04,828 - INFO - Performance: Frame 27000, Prediction: False
2025-07-20 14:22:16,173 - INFO - Performance: Frame 28000, Prediction: False
2025-07-20 14:22:27,532 - INFO - Performance: Frame 29000, Prediction: False
2025-07-20 14:22:38,808 - INFO - Performance: Frame 30000, Prediction: False
2025-07-20 14:22:50,596 - INFO - Performance: Frame 31000, Prediction: False
2025-07-20 14:23:02,262 - INFO - Performance: Frame 32000, Prediction: False
2025-07-20 14:23:13,628 - INFO - Performance: Frame 33000, Prediction: False
2025-07-20 14:23:25,662 - INFO - Performance: Frame 34000, Prediction: False
2025-07-20 14:23:36,712 - INFO - Performance: Frame 35000, Prediction: False
2025-07-20 14:23:49,108 - INFO - Performance: Frame 36000, Prediction: False
2025-07-20 14:24:00,618 - INFO - Performance: Frame 37000, Prediction: False
2025-07-20 14:24:12,140 - INFO - Performance: Frame 38000, Prediction: False
2025-07-20 14:24:24,310 - INFO - Performance: Frame 39000, Prediction: False
2025-07-20 14:24:35,497 - INFO - Performance: Frame 40000, Prediction: False
2025-07-20 14:24:47,574 - INFO - Performance: Frame 41000, Prediction: False
2025-07-20 14:24:59,426 - INFO - Performance: Frame 42000, Prediction: False
2025-07-20 14:25:11,083 - INFO - Performance: Frame 43000, Prediction: False
2025-07-20 14:25:22,543 - INFO - Performance: Frame 44000, Prediction: False
2025-07-20 14:25:34,694 - INFO - Performance: Frame 45000, Prediction: False
2025-07-20 14:25:46,676 - INFO - Performance: Frame 46000, Prediction: False
2025-07-20 14:25:59,043 - INFO - Performance: Frame 47000, Prediction: False
2025-07-20 14:26:10,798 - INFO - Performance: Frame 48000, Prediction: False
2025-07-20 14:26:23,113 - INFO - Performance: Frame 49000, Prediction: False
2025-07-20 14:26:34,165 - INFO - Performance: Frame 50000, Prediction: False
2025-07-20 14:26:45,670 - INFO - Performance: Frame 51000, Prediction: False
2025-07-20 14:26:49,516 - INFO - Bind UI updated for aim to E
2025-07-20 14:26:57,905 - INFO - Performance: Frame 52000, Prediction: False
2025-07-20 14:27:08,957 - INFO - Performance: Frame 53000, Prediction: False
2025-07-20 14:27:20,405 - INFO - Performance: Frame 54000, Prediction: False
2025-07-20 14:27:32,330 - INFO - Performance: Frame 55000, Prediction: False
2025-07-20 14:27:44,569 - INFO - Performance: Frame 56000, Prediction: False
2025-07-20 14:27:57,196 - INFO - Performance: Frame 57000, Prediction: True
2025-07-20 14:28:10,165 - INFO - Performance: Frame 58000, Prediction: True
2025-07-20 14:28:23,166 - INFO - Performance: Frame 59000, Prediction: True
2025-07-20 14:28:35,522 - INFO - Performance: Frame 60000, Prediction: True
2025-07-20 14:28:48,999 - INFO - Performance: Frame 61000, Prediction: True
2025-07-20 14:29:00,056 - INFO - Performance: Frame 62000, Prediction: False
2025-07-20 14:29:11,547 - INFO - Performance: Frame 63000, Prediction: False
2025-07-20 14:29:23,343 - INFO - Performance: Frame 64000, Prediction: False
2025-07-20 14:29:28,595 - INFO - Bind UI updated for aim to RIGHT CLICK
2025-07-20 14:29:35,284 - INFO - Performance: Frame 65000, Prediction: False
2025-07-20 14:29:47,437 - INFO - Performance: Frame 66000, Prediction: False
2025-07-20 14:29:59,270 - INFO - Performance: Frame 67000, Prediction: False
2025-07-20 14:30:10,604 - INFO - Performance: Frame 68000, Prediction: False
2025-07-20 14:30:22,228 - INFO - Performance: Frame 69000, Prediction: False
2025-07-20 14:30:34,165 - INFO - Performance: Frame 70000, Prediction: False
2025-07-20 14:30:46,462 - INFO - Performance: Frame 71000, Prediction: False
2025-07-20 14:30:57,954 - INFO - Performance: Frame 72000, Prediction: False
2025-07-20 14:31:09,835 - INFO - Performance: Frame 73000, Prediction: False
2025-07-20 14:31:21,512 - INFO - Performance: Frame 74000, Prediction: False
2025-07-20 14:31:32,918 - INFO - Performance: Frame 75000, Prediction: False
2025-07-20 14:31:44,408 - INFO - Performance: Frame 76000, Prediction: False
2025-07-20 14:31:56,047 - INFO - Performance: Frame 77000, Prediction: False
2025-07-20 14:32:07,588 - INFO - Performance: Frame 78000, Prediction: False
2025-07-20 14:32:18,229 - INFO - Performance: Frame 79000, Prediction: False
2025-07-20 14:32:29,612 - INFO - Performance: Frame 80000, Prediction: False
2025-07-20 14:32:41,398 - INFO - Performance: Frame 81000, Prediction: False
2025-07-20 14:32:53,263 - INFO - Performance: Frame 82000, Prediction: False
2025-07-20 14:33:02,226 - INFO - Bind UI updated for aim to E
2025-07-20 14:33:05,183 - INFO - Performance: Frame 83000, Prediction: False
2025-07-20 14:33:17,480 - INFO - Performance: Frame 84000, Prediction: False
2025-07-20 14:33:29,405 - INFO - Performance: Frame 85000, Prediction: False
2025-07-20 14:33:41,956 - INFO - Performance: Frame 86000, Prediction: False
2025-07-20 14:33:54,500 - INFO - Performance: Frame 87000, Prediction: False
2025-07-20 14:34:06,429 - INFO - Performance: Frame 88000, Prediction: False
2025-07-20 14:34:18,401 - INFO - Performance: Frame 89000, Prediction: False
2025-07-20 14:34:29,977 - INFO - Performance: Frame 90000, Prediction: False
2025-07-20 14:34:42,649 - INFO - Performance: Frame 91000, Prediction: False
2025-07-20 14:34:54,665 - INFO - Performance: Frame 92000, Prediction: False
2025-07-20 14:35:06,483 - INFO - Performance: Frame 93000, Prediction: False
2025-07-20 14:35:18,421 - INFO - Performance: Frame 94000, Prediction: False
2025-07-20 14:35:31,307 - INFO - Performance: Frame 95000, Prediction: False
2025-07-20 14:35:44,328 - INFO - Performance: Frame 96000, Prediction: False
2025-07-20 14:35:57,143 - INFO - Performance: Frame 97000, Prediction: False
2025-07-20 14:36:10,135 - INFO - Performance: Frame 98000, Prediction: False
2025-07-20 14:36:22,386 - INFO - Performance: Frame 99000, Prediction: False
2025-07-20 14:36:34,635 - INFO - Performance: Frame 100000, Prediction: False
2025-07-20 14:36:47,976 - INFO - Performance: Frame 101000, Prediction: False
2025-07-20 14:37:00,735 - INFO - Performance: Frame 102000, Prediction: False
2025-07-20 14:37:08,700 - INFO - Bind UI updated for aim to RIGHT CLICK
2025-07-20 14:37:13,950 - INFO - Performance: Frame 103000, Prediction: False
2025-07-20 14:37:27,155 - INFO - Performance: Frame 104000, Prediction: False
2025-07-20 14:37:40,011 - INFO - Performance: Frame 105000, Prediction: False
2025-07-20 14:37:52,838 - INFO - Performance: Frame 106000, Prediction: False
2025-07-20 14:38:05,475 - INFO - Performance: Frame 107000, Prediction: False
2025-07-20 14:38:18,505 - INFO - Performance: Frame 108000, Prediction: False
2025-07-20 14:38:31,296 - INFO - Performance: Frame 109000, Prediction: False
2025-07-20 14:38:44,026 - INFO - Performance: Frame 110000, Prediction: False
2025-07-20 14:38:56,998 - INFO - Performance: Frame 111000, Prediction: False
2025-07-20 14:39:10,039 - INFO - Performance: Frame 112000, Prediction: False
2025-07-20 14:39:22,432 - INFO - Performance: Frame 113000, Prediction: False
